customer_id,age,gender,region,sim_type,package,monthly_recharge,call_minutes,data_usage_gb,tenure_months,churn
GP00001,56,Male,Barisal,Prepaid,Priyo Unlimited,467.0,213.0,0.28,13,No
GP00002,69,Female,Khulna,Prepaid,Djuice,256.0,120.0,3.08,39,No
GP00003,46,Female,Dhaka,Postpaid,Nishchinto,178.0,424.0,6.01,15,No
GP00004,32,Male,Rangpur,Prepaid,MyPlan,422.0,297.0,2.87,38,No
GP00005,60,Male,Barisal,Postpaid,Djuice,258.0,89.0,3.44,30,No
GP00006,25,Female,Mymensingh,Prepaid,MyPlan,316.0,373.0,3.39,14,No
GP00007,38,Female,Dhaka,Prepaid,Nishchinto,250.0,316.0,5.12,50,No
GP00008,56,Female,Sylhet,Prepaid,Nishchinto,351.0,369.0,3.4,4,No
GP00009,36,Female,Chittagong,Prepaid,Ekota,148.0,194.0,7.94,1,No
GP00010,40,Female,Khulna,Postpaid,Bondhu,409.0,208.0,3.46,3,No
GP00011,28,Female,Barisal,Postpaid,Nishchinto,295.0,169.0,2.13,45,No
GP00012,28,Female,Chittagong,Prepaid,Nishchinto,185.0,462.0,6.02,50,No
GP00013,41,Male,Khulna,Prepaid,MyPlan,380.0,200.0,2.58,36,No
GP00014,53,Female,Khulna,Postpaid,Nishchinto,185.0,154.0,1.8,4,No
GP00015,57,Female,Khulna,Prepaid,Djuice,192.0,185.0,0.62,43,No
GP00016,41,Male,Chittagong,Prepaid,Ekota,120.0,217.0,3.96,14,No
GP00017,20,Female,Barisal,Prepaid,Ekota,50.0,406.0,2.09,25,No
GP00018,39,Female,Rangpur,Prepaid,Djuice,380.0,278.0,1.45,39,No
GP00019,19,Male,Rajshahi,Postpaid,Priyo Unlimited,475.0,373.0,1.87,3,No
GP00020,41,Female,Chittagong,Prepaid,Nishchinto,232.0,279.0,2.27,7,No
GP00021,61,Male,Mymensingh,Prepaid,Bondhu,180.0,232.0,4.67,8,No
GP00022,47,Male,Khulna,Postpaid,Nishchinto,50.0,146.0,3.97,44,Yes
GP00023,55,Male,Barisal,Prepaid,Ekota,50.0,409.0,2.71,7,No
GP00024,19,Male,Rangpur,Prepaid,Bondhu,409.0,349.0,4.12,56,No
GP00025,38,Female,Sylhet,Prepaid,Priyo Unlimited,50.0,358.0,2.79,48,Yes
GP00026,50,Male,Mymensingh,Prepaid,MyPlan,128.0,343.0,3.41,25,No
GP00027,29,Male,Dhaka,Prepaid,MyPlan,343.0,179.0,1.67,17,No
GP00028,39,Female,Mymensingh,Prepaid,Nishchinto,313.0,277.0,1.68,26,No
GP00029,61,Male,Khulna,Prepaid,Nishchinto,349.0,359.0,3.3,54,No
GP00030,42,Male,Sylhet,Prepaid,Bondhu,301.0,344.0,3.31,4,No
GP00031,66,Male,Rajshahi,Prepaid,Bondhu,246.0,266.0,5.02,49,No
GP00032,44,Male,Rangpur,Prepaid,Priyo Unlimited,129.0,447.0,4.0,18,No
GP00033,59,Female,Rangpur,Prepaid,Nishchinto,205.0,303.0,2.02,58,No
GP00034,45,Male,Khulna,Prepaid,Ekota,257.0,382.0,0.44,4,Yes
GP00035,33,Female,Mymensingh,Prepaid,MyPlan,50.0,270.0,4.77,17,Yes
GP00036,32,Female,Mymensingh,Prepaid,Priyo Unlimited,182.0,213.0,3.66,47,No
